Age,Gender,City,Position ,Total_Y,Level,Num_Skill,Main_Tech,Current_Salary,Prev_Salary,Status,MaxComp_size,Company_type
40,Female,Berlin,Software Engineer,8,Senior,1,C#,57000,54000,Full-time,100,Production
34,Male,Berlin,Software Engineer,13,Team Lead,1,C#,65000,65000,Full-time,100,Production
25,Male,Berlin,Software Engineer,8,Senior,1,Clojure,85000,0,Full-time,100,Startup
34,Male,Berlin,Software Engineer,15,Senior,1,Elixir,70000,65000,Full-time,100,Production
35,Male,Berlin,Software Engineer,15,Senior,1,Golang,70000,0,Full-time,100,Startup
38,Male,Berlin,Software Engineer,10,Senior,2,Golang,70000,65000,Full-time,100,Startup
32,Male,Berlin,Software Engineer,12,Senior,1,iOS,66800,65000,Full-time,100,Production
42,Female,Berlin,Data Scientist,5,Middle,1,Java,46000,46000,Full-time,100,Production
37,Male,Berlin,Software Engineer,8,Junior,1,Java,60000,0,Full-time,100,Production
36,Female,Berlin,Software Engineer,1,Middle,1,Java,60000,58000,Full-time,100,Services
27,Male,Berlin,Software Engineer,3,Middle,1,Java,57000,0,Full-time,100,Production
30,Male,Berlin,Software Engineer,9,Senior,1,Java,85000,80000,Full-time,100,Startup
39,Male,Berlin,Software Engineer,8,Senior,1,Java,80000,80000,Full-time,100,Startup
35,Male,Berlin,Software Engineer,6,Senior,3,Java,74000,0,Full-time,100,Production
29,Male,Berlin,Software Engineer,9,Senior,1,Java,75000,75000,Full-time,100,Startup
30,Female,Berlin,Software Engineer,7,Senior,1,Java,60000,55000,Full-time,100,Production
31,Male,Berlin,Software Engineer,9,Senior,1,Java,70000,70000,Full-time,100,Production
39,Male,Berlin,Software Engineer,15,Team Lead,1,Java,75000,65000,Full-time,100,Startup
28,Male,Berlin,Software Engineer,4,Junior,1,JavaScript,54000,0,Full-time,100,Startup
40,Female,Berlin,Software Engineer,1,Junior,1,JavaScript,50000,40000,Full-time,100,Startup
38,Male,Berlin,Software Engineer,1,Junior,2,JavaScript,45500,40000,Full-time,100,Startup
32,Male,Berlin,Software Engineer,10,Middle,1,JavaScript,65000,65000,Full-time,100,Startup
29,Male,Berlin,Software Engineer,3,Middle,1,JavaScript,48000,0,Full-time,100,Services
31,Male,Berlin,Software Engineer,10,Senior,1,JavaScript,71060,67500,Full-time,100,Startup
46,Male,Berlin,Software Engineer,14,Senior,1,JavaScript,80000,63000,Full-time,100,Production
46,Male,Berlin,Software Engineer,14,Senior,1,JavaScript,80000,63000,Full-time,100,Production
30,Male,Berlin,Software Engineer,8,Senior,1,JavaScript,60000,60000,Full-time,100,Production
40,Male,Berlin,Software Engineer,10,Senior,1,JavaScript,100000,0,Full-time,100,Production
27,Female,Berlin,Software Engineer,5,Middle,1,Kotlin,65000,52000,Full-time,100,Production
31,Male,Berlin,Software Engineer,9,Senior,2,Node JS,65000,65000,Full-time,100,Startup
28,Male,Berlin,Admin,3,Middle,1,Others,51000,0,Full-time,100,Production
41,Male,Berlin,Admin,18,Senior,1,Others,78000,100000,Full-time,100,Startup
32,Female,Berlin,Admin,10,Senior,1,Others,60000,54000,Full-time,100,Services
31,Male,Berlin,Admin,5,Team Lead,1,Others,76000,760000,Full-time,100,Startup
35,Male,Berlin,Admin,12,Team Lead,1,Others,85000,85000,Full-time,100,Startup
29,Female,Berlin,Data Scientist,8,Senior,1,Others,60000,52000,Full-time,100,Startup
38,Male,Berlin,Software Engineer,18,Senior,1,Others,90000,90000,Full-time,100,Production
43,Male,Berlin,Software Engineer,21,Team Lead,1,Others,83000,75000,Full-time,100,Startup
35,Male,Berlin,UI/UX Designer,10,Senior,1,Others,70000,65000,Full-time,100,Production
65,Male,Berlin,Software Engineer,25,Senior,4,Pascal,55000,50000,Full-time,100,Production
24,Male,Berlin,Software Engineer,4,Middle,1,PHP,46000,42000,Full-time,100,Startup
33,Male,Berlin,Software Engineer,14,Senior,1,PHP,68000,68000,Full-time,100,Production
41,Male,Berlin,Software Engineer,18,Team Lead,1,PHP,100000,80000,Full-time,100,Production
33,Male,Berlin,Admin,3,Senior,1,Python,100000,65000,Full-time,100,Production
27,Male,Berlin,Data Scientist,4,Junior,1,Python,60000,0,Full-time,100,Services
44,Female,Berlin,Data Scientist,13,Junior,1,Python,45000,0,Full-time,100,Services
33,Male,Berlin,Data Scientist,10,Middle,1,Python,62000,60000,Full-time,100,Startup
27,Female,Berlin,Data Scientist,3,Middle,1,Python,58000,55000,Full-time,100,Production
27,Male,Berlin,Data Scientist,5,Middle,1,Python,55000,0,Full-time,100,Production
30,Male,Berlin,Data Scientist,6,Middle,1,Python,59000,54000,Full-time,100,Startup
30,Male,Berlin,Data Scientist,4,Middle,1,Python,60000,60000,Full-time,100,Startup
29,Female,Berlin,Data Scientist,7,Middle,1,Python,45000,0,Full-time,100,Startup
30,Female,Berlin,Data Scientist,4,Middle,1,Python,52000,0,Full-time,100,Startup
36,Female,Berlin,Data Scientist,5,Senior,1,Python,75000,75000,Part-time ,100,Startup
32,Male,Berlin,Data Scientist,9,Senior,1,Python,90000,85000,Full-time,100,Startup
30,Male,Berlin,Data Scientist,8,Senior,1,Python,68000,66000,Full-time,100,Startup
28,Male,Berlin,Data Scientist,6,Team Lead,2,Python,78000,78000,Full-time,100,Services
29,Male,Berlin,Software Engineer,11,Senior,1,Python,85000,85000,Full-time,100,Production
40,Male,Berlin,Software Engineer,13,Senior,1,Python,72000,72000,Full-time,100,Startup
33,Male,Berlin,Software Engineer,13,Senior,1,Python,83000,73000,Full-time,100,Startup
29,Male,Berlin,Software Engineer,3,Middle,1,React,43000,43000,Full-time,100,Production
33,Male,Berlin,Software Engineer,7,Middle,1,Ruby,54000,0,Full-time,100,Startup
42,Male,Berlin,Software Engineer,20,Senior,1,Ruby,80000,72000,Full-time,100,Production
32,Male,Berlin,Software Engineer,4,Senior,1,Ruby,65000,0,Full-time,100,Production
32,Male,Berlin,Software Engineer,10,Team Lead,1,Ruby,80000,68500,Full-time,100,Production
28,Male,Berlin,Software Engineer,8,Team Lead,1,Ruby,67000,62000,Full-time,100,Startup
33,Female,Berlin,UI/UX Designer,6,Middle,2,Sketch Figma,42000,0,Full-time,100,Production
26,Male,Berlin,Data Scientist,4,Middle,2,Swift,55500,0,Full-time,100,Startup
32,Male,Berlin,Data Scientist,7,Senior,1,Swift,65000,62000,Full-time,100,Startup
23,Male,Berlin,Software Engineer,3,Team Lead,1,Swift,65000,0,Full-time,100,Startup
30,Male,Berlin,Software Engineer,8,Senior,1,Others,73000,0,Full-time,100,Startup
26,Male,Berlin,Software Engineer,2,Middle,1,Yaml,65000,40000,Full-time,100,Startup
26,Female,Berlin,Software Engineer,6,Senior,1,.NET,65000,56000,Full-time,1000,Production
37,Male,Berlin,Software Engineer,15,Senior,1,Android,84700,83000,Full-time,1000,Production
32,Male,Berlin,Software Engineer,11,Team Lead,1,Android,80000,80000,Full-time,1000,Production
27,Male,Berlin,Software Engineer,4,Middle,1,AWS,66000,61200,Full-time,1000,Services
40,Male,Berlin,Data Scientist,14,Middle,3,Business Intelligence,57000,0,Full-time,1000,Production
27,Male,Berlin,Software Engineer,4,Middle,1,C#,65000,0,Full-time,1000,Production
37,Male,Berlin,Software Engineer,17,Senior,2,C#,62000,62000,Full-time,1000,Production
34,Male,Berlin,Software Engineer,14,Senior,1,C#,72000,65000,Full-time,1000,Production
35,Male,Berlin,Data Scientist,15,Middle,1,C++,60000,60000,Full-time,1000,Production
26,Female,Berlin,Software Engineer,8,Middle,1,c++,40000,15000,Self-employed,1000,Production
34,Male,Berlin,Software Engineer,10,Senior,1,C++,76000,73000,Full-time,1000,Production
33,Male,Berlin,Software Engineer,15,Middle,1,Elixir,73000,0,Full-time,1000,Services
35,Male,Berlin,Software Engineer,8,Senior,1,Elixir,75000,0,Full-time,1000,Startup
34,Male,Berlin,Software Engineer,13,Senior,1,Elixir,70000,0,Full-time,1000,Production
32,Male,Berlin,Software Engineer,9,Team Lead,1,Embedded,73000,65000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,8,Middle,1,Golang,65000,60000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,5,Senior,1,Golang,75000,58000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,12,Senior,1,Golang,75000,70000,Full-time,1000,Production
42,Male,Berlin,Software Engineer,17,Senior,1,Golang,75000,73000,Full-time,1000,Startup
27,Male,Berlin,Software Engineer,7,Senior,1,Golang,80000,75000,Full-time,1000,Startup
25,Male,Berlin,Software Engineer,6,Senior,1,Golang,86000,80000,Full-time,1000,Startup
38,Male,Berlin,Software Engineer,15,Senior,1,Golang,75000,73000,Full-time,1000,Production
31,Male,Berlin,Software Engineer,7,Senior,1,Golang,75000,0,Full-time,1000,Production
29,Male,Berlin,Software Engineer,5,Senior,1,Golang,75000,70000,Full-time,1000,Production
30,Male,Berlin,Software Engineer,4,Senior,1,Golang,65000,0,Full-time,1000,Production
33,Male,Berlin,Software Engineer,10,Senior,1,Golang,110000,110000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,6,Team Lead,1,Golang,85000,78000,Full-time,1000,Production
33,Male,Berlin,Software Engineer,12,Team Lead,1,Golang,120000,104000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,9,Team Lead,1,Golang,85000,0,Full-time,1000,Production
31,Male,Berlin,Software Engineer,9,Senior,2,Grails,67473,63000,Full-time,1000,Production
38,Male,Berlin,Admin,18,Team Lead,1,iOS,80000,80000,Full-time,1000,Production
30,Male,Berlin,Software Engineer,10,Middle,1,iOS,71000,65000,Full-time,1000,Production
37,Male,Berlin,Software Engineer,16,Senior,1,iOS,65000,55000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,5,Senior,1,iOS,65000,58000,Full-time,1000,Production
30,Male,Berlin,Admin,3,Middle,1,Java,58000,42000,Full-time,1000,Startup
36,Male,Berlin,Admin,15,Senior,2,Java,150000,120000,Full-time,1000,Services
32,Male,Berlin,Admin,10,Senior,1,Java,200000,0,Full-time,1000,Production
38,Male,Berlin,Admin,24,Senior,1,Java,130000,0,Full-time,1000,Production
33,Female,Berlin,Data Scientist,6,Middle,1,Java,60000,0,Full-time,1000,Startup
33,Female,Berlin,Data Scientist,9,Middle,1,Java,57000,54000,Full-time,1000,Startup
27,Male,Berlin,Data Scientist,5,Middle,1,Java,56700,0,Full-time,1000,Production
37,Male,Berlin,Data Scientist,6,Middle,2,Java,69200,67100,Full-time,1000,Services
32,Female,Berlin,Data Scientist,10,Senior,1,Java,61000,55000,Full-time,1000,Production
34,Male,Berlin,Data Scientist,10,Senior,1,Java,75000,65000,Full-time,1000,Startup
35,Male,Berlin,Data Scientist,11,Senior,1,Java,74400,0,Full-time,1000,Production
34,Female,Berlin,Data Scientist,7,Senior,1,Java,55000,0,Full-time,1000,Production
34,Male,Berlin,Data Scientist,10,Team Lead,1,Java,85000,73000,Full-time,1000,Startup
27,Female,Berlin,Software Engineer,1,Junior,1,Java,42000,42000,Full-time,1000,Production
31,Male,Berlin,Software Engineer,5,Middle,1,Java,65000,0,Full-time,1000,Startup
32,Male,Berlin,Software Engineer,3,Middle,1,Java,77000,62000,Full-time,1000,Production
33,Male,Berlin,Software Engineer,5,Middle,1,Java,66000,61000,Full-time,1000,Production
43,Male,Berlin,Software Engineer,5,Middle,1,Java,64000,63000,Full-time,1000,Production
22,Male,Berlin,Software Engineer,4,Middle,2,Java,63000,0,Full-time,1000,Startup
36,Male,Berlin,Software Engineer,4,Middle,1,Java,55000,55000,Full-time,1000,Production
38,Male,Berlin,Software Engineer,5,Middle,1,Java,66000,60000,Full-time,1000,Production
26,Male,Berlin,Software Engineer,3,Middle,1,Java,60000,0,Full-time,1000,Production
34,Male,Berlin,Software Engineer,10,Middle,1,Java,65600,67000,Full-time,1000,Production
29,Female,Berlin,Software Engineer,4,Middle,2,Java,60000,0,Full-time,1000,Services
59,Male,Berlin,Software Engineer,30,Senior,1,Java,69000,69000,Full-time,1000,Production
48,Male,Berlin,Software Engineer,25,Senior,1,Java,75000,75000,Full-time,1000,Production
39,Female,Berlin,Software Engineer,10,Senior,1,Java,70500,68000,Full-time,1000,Services
34,Male,Berlin,Software Engineer,12,Senior,1,Java,70000,0,Full-time,1000,Production
28,Male,Berlin,Software Engineer,7,Senior,1,Java,95000,0,Full-time,1000,Production
37,Male,Berlin,Software Engineer,12,Senior,1,Java,102000,78000,Full-time,1000,Startup
33,Male,Berlin,Software Engineer,13,Senior,1,Java,78600,78600,Full-time,1000,Production
33,Male,Berlin,Software Engineer,13,Senior,1,Java,110000,0,Full-time,1000,Production
36,Male,Berlin,Software Engineer,5,Senior,1,Java,70000,60000,Full-time,1000,Startup
31,Male,Berlin,Software Engineer,7,Senior,1,Java,75000,75000,Full-time,1000,Production
37,Male,Berlin,Software Engineer,16,Senior,1,Java,80000,75000,Full-time,1000,Production
36,Male,Berlin,Software Engineer,10,Senior,1,Java,75000,0,Full-time,1000,Production
35,Male,Berlin,Software Engineer,15,Senior,1,Java,85000,80000,Full-time,1000,Production
35,Male,Berlin,Software Engineer,15,Team Lead,1,Java,95000,90000,Full-time,1000,Production
31,Male,Berlin,Software Engineer,11,Team Lead,1,Java,80000,79000,Full-time,1000,Startup
29,Female,Berlin,Software Engineer,9,Team Lead,1,Java,66000,60000,Full-time,1000,Startup
32,Female,Berlin,Software Engineer,6,Team Lead,1,Java,75000,75000,Full-time,1000,Startup
39,Male,Berlin,Software Engineer,15,Team Lead,1,Java,78000,78000,Full-time,1000,Production
42,Male,Berlin,Software Engineer,12,Team Lead,1,Java,95000,0,Full-time,1000,Production
42,Male,Berlin,Software Engineer,12,Team Lead,1,Java,95000,0,Full-time,1000,Production
42,Male,Berlin,Software Engineer,12,Team Lead,1,Java,95000,0,Full-time,1000,Production
42,Male,Berlin,Software Engineer,12,Team Lead,1,Java,95000,0,Full-time,1000,Production
30,Male,Berlin,Software Engineer,10,Team Lead,1,Java,82000,73000,Full-time,1000,Startup
26,Female,Berlin,Admin,5,Middle,1,JavaScript,40000,33000,Full-time,1000,Production
33,Male,Berlin,Data Scientist,6,Middle,1,JavaScript,50000,45000,Full-time,1000,Production
31,Female,Berlin,Data Scientist,11,Middle,1,JavaScript,57000,55000,Full-time,1000,Startup
30,Female,Berlin,Data Scientist,8,Senior,1,JavaScript,70000,0,Full-time,1000,Production
35,Male,Berlin,Data Scientist,12,Senior,1,JavaScript,63000,56000,Full-time,1000,Production
27,Male,Berlin,Software Engineer,8,Middle,1,JavaScript,63000,0,Full-time,1000,Production
35,Male,Berlin,Software Engineer,4,Middle,1,JavaScript,50000,0,Full-time,1000,Production
35,Female,Berlin,Software Engineer,12,Middle,1,JavaScript,70000,70000,Full-time,1000,E-commerce
28,Female,Berlin,Software Engineer,3,Middle,1,JavaScript,60000,55000,Full-time,1000,Startup
32,Male,Berlin,Software Engineer,10,Middle,1,JavaScript,85000,78000,Full-time,1000,Production
28,Female,Berlin,Software Engineer,3,Middle,1,JavaScript,54500,52000,Full-time,1000,Production
36,Male,Berlin,Software Engineer,5,Middle,1,JavaScript,60000,60000,Full-time,1000,Startup
36,Male,Berlin,Software Engineer,6,Middle,1,JavaScript,58000,55000,Full-time,1000,Production
27,Male,Berlin,Software Engineer,5,Middle,2,JavaScript,58000,0,Full-time,1000,Startup
32,Female,Berlin,Software Engineer,2,Middle,1,JavaScript,63000,50000,Full-time,1000,Production
34,Male,Berlin,Software Engineer,6,Middle,1,JavaScript,63000,58000,Full-time,1000,Startup
28,Male,Berlin,Software Engineer,5,Middle,1,JavaScript,55000,55000,Full-time,1000,Production
36,Male,Berlin,Software Engineer,14,Middle,1,JavaScript,75000,73500,Full-time,1000,Production
30,Male,Berlin,Software Engineer,8,Senior,1,JavaScript,80000,72000,Full-time,1000,Production
33,Male,Berlin,Software Engineer,12,Senior,1,JavaScript,120000,65000,Self-employed,1000,Production
39,Male,Berlin,Software Engineer,10,Senior,1,JavaScript,85000,0,Full-time,1000,Production
33,Male,Berlin,Software Engineer,10,Senior,1,JavaScript,74000,66000,Full-time,1000,Startup
31,Male,Berlin,Software Engineer,8,Senior,2,JavaScript,70000,0,Full-time,1000,Startup
29,Male,Berlin,Software Engineer,8,Senior,1,JavaScript,77250,65000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,12,Team Lead,2,JavaScript,120000,100000,Self-employed,1000,Production
32,Male,Berlin,Software Engineer,9,Team Lead,1,JavaScript,90000,75000,Full-time,1000,Production
28,Female,Berlin,Software Engineer,8,Team Lead,1,JavaScript,80000,0,Full-time,1000,Production
33,Male,Berlin,Software Engineer,10,Team Lead,1,JavaScript,75000,70000,Full-time,1000,Startup
31,Male,Berlin,Software Engineer,9,Team Lead,1,JavaScript,99000,89000,Full-time,1000,Startup
34,Male,Berlin,Software Engineer,13,Team Lead,1,JavaScript,85000,0,Full-time,1000,Production
30,Female,Berlin,Software Engineer,3,Team Lead,1,JavaScript,57600,51200,Full-time,1000,Production
27,Male,Berlin,Software Engineer,3,Middle,1,Kotlin,65000,0,Full-time,1000,Startup
28,Male,Berlin,Software Engineer,5,Senior,1,Kotlin,75000,58000,Full-time,1000,Startup
26,Male,Berlin,Software Engineer,6,Senior,1,Kotlin,70000,65000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,8,Senior,1,Kotlin,65000,52000,Full-time,1000,Production
34,Female,Berlin,Software Engineer,9,Senior,1,Kotlin,78000,65000,Full-time,1000,Production
34,Male,Berlin,Software Engineer,11,Team Lead,1,Kotlin,80000,75000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,7,Senior,2,Kuberenetes,82000,78000,Full-time,1000,Services
30,Male,Berlin,Admin,10,Senior,1,Kuberenetes,68000,68000,Full-time,1000,Production
24,Male,Berlin,Software Engineer,6,Senior,1,Kuberenetes,75000,63000,Full-time,1000,Production
29,Male,Berlin,Software Engineer,7,Team Lead,1,Kuberenetes,78000,70000,Full-time,1000,Production
30,Male,Berlin,Software Engineer,9,Team Lead,1,Kuberenetes,90000,80000,Full-time,1000,Production
33,Male,Berlin,Software Engineer,8,Team Lead,1,Node JS,90000,85000,Full-time,1000,Production
28,Male,Berlin,Admin,4,Junior,1,Others,57000,45000,Full-time,1000,Production
37,Male,Berlin,Admin,6,Middle,1,Others,62000,58000,Full-time,1000,Production
35,Male,Berlin,Admin,14,Middle,1,Others,44000,0,Full-time,1000,Startup
29,Male,Berlin,Admin,5,Middle,1,Others,57750,55000,Full-time,1000,Startup
31,Female,Berlin,Admin,4,Middle,1,Others,60000,70000,Full-time,1000,Startup
28,Male,Berlin,Admin,7,Senior,1,Others,60000,0,Full-time,1000,Production
38,Male,Berlin,Admin,15,Senior,1,Others,80000,75000,Full-time,1000,Production
33,Male,Berlin,Admin,5,Senior,1,Others,70000,65000,Full-time,1000,Production
35,Female,Berlin,Admin,13,Senior,1,Others,85000,64000,Full-time,1000,Production
35,Female,Berlin,Admin,5,Senior,1,Others,60000,50000,Full-time,1000,Startup
29,Male,Berlin,Data Scientist,9,Senior,1,Others,62000,55000,Full-time,1000,Startup
33,Male,Berlin,Software Engineer,10,Senior,1,Others,93000,0,Full-time,1000,Startup
38,Male,Berlin,Software Engineer,5,Team Lead,1,Others,80000,70000,Full-time,1000,Startup
28,Male,Berlin,Software Engineer,10,Team Lead,1,Others,78000,0,Self-employed,1000,Production
36,Male,Berlin,Software Engineer,15,Team Lead,1,Others,90000,0,Full-time,1000,Startup
31,Female,Berlin,UI/UX Designer,11,Middle,1,Others,32000,21800,Full-time,1000,Startup
40,Male,Berlin,UI/UX Designer,10,Middle,1,Others,89000,0,Full-time,1000,Production
35,Male,Berlin,Admin,10,Senior,1,PHP,90000,0,Full-time,1000,Production
28,Male,Berlin,Software Engineer,6,Middle,1,PHP,60000,60000,Full-time,1000,E-commerce
29,Male,Berlin,Software Engineer,8,Senior,1,PHP,56000,55000,Full-time,1000,Production
36,Male,Berlin,Software Engineer,19,Senior,1,PHP,69000,69000,Full-time,1000,Production
36,Male,Berlin,Software Engineer,18,Senior,1,PHP,65000,60000,Full-time,1000,Production
33,Male,Berlin,Software Engineer,12,Senior,1,PHP,67000,65000,Full-time,1000,Production
28,Male,Berlin,Software Engineer,7,Senior,1,PHP,70000,0,Full-time,1000,Production
35,Male,Berlin,Software Engineer,10,Senior,1,PHP,63500,60000,Full-time,1000,Production
39,Male,Berlin,Software Engineer,6,Senior,1,PHP,60000,0,Full-time,1000,Production
35,Male,Berlin,Software Engineer,12,Senior,1,PHP,54000,0,Full-time,1000,Production
42,Male,Berlin,Software Engineer,20,Senior,1,PHP,65000,63000,Full-time,1000,Startup
42,Male,Berlin,Software Engineer,19,Senior,1,PHP,66000,65000,Full-time,1000,Production
36,Male,Berlin,Software Engineer,15,Senior,1,PHP,70000,67000,Full-time,1000,Production
36,Male,Berlin,Software Engineer,17,Team Lead,1,PHP,70000,65000,Full-time,1000,Production
28,Male,Berlin,Software Engineer,8,Team Lead,1,PHP,80000,72000,Full-time,1000,Production
33,Male,Berlin,Software Engineer,12,Team Lead,1,PHP,65000,60000,Full-time,1000,Production
30,Female,Berlin,Data Scientist,5,Middle,1,Python,50000,50000,Full-time,1000,Production
34,Male,Berlin,Data Scientist,5,Middle,1,Python,65000,60000,Full-time,1000,Production
28,Male,Berlin,Data Scientist,4,Middle,1,Python,70000,70000,Full-time,1000,Production
28,Female,Berlin,Data Scientist,4,Middle,1,Python,65000,56000,Full-time,1000,Production
26,Male,Berlin,Data Scientist,5,Middle,1,Python,59000,55000,Full-time,1000,Startup
36,Male,Berlin,Data Scientist,5,Middle,1,Python,50000,0,Full-time,1000,Startup
31,Male,Berlin,Data Scientist,5,Middle,1,Python,90000,90000,Full-time,1000,Production
37,Female,Berlin,Data Scientist,2,Middle,1,Python,62000,58000,Full-time,1000,Services
31,Male,Berlin,Data Scientist,4,Middle,1,Python,50000,45000,Full-time,1000,Production
37,Male,Berlin,Data Scientist,8,Middle,1,Python,54000,54000,Full-time,1000,Production
38,Male,Berlin,Data Scientist,15,Senior,1,Python,100000,80000,Full-time,1000,Startup
38,Male,Berlin,Data Scientist,15,Senior,1,Python,100000,80000,Full-time,1000,Startup
30,Male,Berlin,Data Scientist,7,Senior,1,Python,100000,100000,Full-time,1000,Startup
24,Male,Berlin,Data Scientist,4,Senior,1,Python,73000,50000,Full-time,1000,Startup
29,Male,Berlin,Data Scientist,4,Senior,1,Python,81000,72000,Full-time,1000,Production
31,Male,Berlin,Data Scientist,9,Senior,1,Python,81000,80600,Full-time,1000,Production
40,Male,Berlin,Data Scientist,11,Senior,1,Python,60000,60000,Full-time,1000,Production
35,Male,Berlin,Data Scientist,9,Senior,1,Python,77000,70000,Full-time,1000,Startup
33,Male,Berlin,Data Scientist,13,Senior,1,Python,85000,75000,Full-time,1000,Startup
28,Male,Berlin,Data Scientist,7,Senior,1,Python,90000,75000,Full-time,1000,Startup
34,Male,Berlin,Data Scientist,3,Senior,1,Python,70000,55000,Full-time,1000,Production
37,Male,Berlin,Data Scientist,10,Senior,1,Python,82000,79000,Full-time,1000,Production
38,Male,Berlin,Data Scientist,10,Senior,1,Python,87550,85000,Full-time,1000,Production
27,Female,Berlin,Data Scientist,5,Senior,1,Python,75000,60000,Full-time,1000,Production
32,Male,Berlin,Data Scientist,7,Senior,2,Python,82000,75000,Full-time,1000,Production
33,Male,Berlin,Software Engineer,5,Middle,1,Python,65000,65000,Full-time,1000,Production
23,Male,Berlin,Software Engineer,5,Middle,1,Python,53000,0,Full-time,1000,Production
